ingredient_name,common_aliases,category,concern_level,explanation,skin_types_to_avoid,benefit
Sodium Lauryl Sulfate,"SLS, Sodium Laurilsulfate, Sodium Dodecyl Sulfate",Sulfate,Avoid,Harsh surfactant that strips the skin's natural oils and disrupts the skin barrier. One of the most irritating cleansing agents used in cosmetics.,"sensitive, dry, acne-prone, eczema",none
Sodium Laureth Sulfate,"SLES, Sodium Lauryl Ether Sulfate, Sodium Polyoxyethylene Lauryl Ether Sulfate",Sulfate,Caution,"Milder than SLS but still a strong surfactant. Can cause irritation with prolonged use, especially in sensitive individuals.","sensitive, dry, eczema",none
Ammonium Lauryl Sulfate,"ALS, Ammonium Dodecyl Sulfate",Sulfate,Avoid,Similar to SLS in irritation potential. Strips natural oils and can cause dryness and redness.,"sensitive, dry, acne-prone",none
Ammonium Laureth Sulfate,ALES,Sulfate,Caution,Slightly milder than ALS. Still a strong cleanser that can disrupt the skin barrier over time.,"sensitive, dry",none
Sodium Coco Sulfate,"SCS, Coconut Sulfate",Sulfate,Caution,Derived from coconut oil but still a harsh sulfate. Often marketed as natural but can be irritating.,"sensitive, eczema",none
Sodium Myreth Sulfate,SMS,Sulfate,Caution,Surfactant used in cleansers. Moderately irritating and can cause dryness with frequent use.,"sensitive, dry",none
Sodium Xylenesulfonate,,Sulfate,Caution,Used as a solubiliser and viscosity agent. Can be irritating at higher concentrations.,sensitive,none
TEA Lauryl Sulfate,Triethanolamine Lauryl Sulfate,Sulfate,Avoid,Strong surfactant with irritation potential. TEA compounds can form nitrosamines which are a safety concern.,all,none
Sodium Olefin Sulfonate,"Alpha Olefin Sulfonate, AOS",Sulfate,Caution,Strong cleansing agent that can strip moisture and cause irritation in sensitive individuals.,"sensitive, dry",none
Disodium Laureth Sulfosuccinate,,Sulfate,Safe,One of the gentlest sulfate-based surfactants. Much milder than SLS or SLES. Generally well tolerated.,none,none
Sodium Lauryl Sulfoacetate,SLSA,Sulfate,Safe,Derived from coconut and palm oils. Gentler than SLS and less likely to cause irritation.,none,none
Sodium Cocoyl Isethionate,"SCI, Baby Foam",Sulfate,Safe,Very mild sulfate-free surfactant derived from coconut oil. Gentle enough for sensitive and baby skin.,none,none
Methylparaben,"Methyl 4-hydroxybenzoate, Nipagin M",Paraben,Caution,"Most commonly used paraben preservative. Concerns exist around weak estrogenic activity and potential endocrine disruption, though evidence is debated.","sensitive, hormonal-acne",none
Propylparaben,"Propyl 4-hydroxybenzoate, Nipasol",Paraben,Caution,Stronger estrogenic activity than methylparaben. More concerning from an endocrine disruption standpoint.,"sensitive, hormonal-acne",none
Butylparaben,Butyl 4-hydroxybenzoate,Paraben,Avoid,Has the strongest estrogenic activity among common parabens. EU has restricted its use in cosmetics for children under 3.,all,none
Ethylparaben,Ethyl 4-hydroxybenzoate,Paraben,Caution,Moderate estrogenic activity. Less studied than methyl and propylparaben but shares similar concerns.,"sensitive, hormonal-acne",none
Isobutylparaben,Isobutyl 4-hydroxybenzoate,Paraben,Avoid,Strong estrogenic activity similar to butylparaben. Restricted in EU for leave-on products.,all,none
Isopropylparaben,Isopropyl 4-hydroxybenzoate,Paraben,Avoid,Restricted in EU cosmetics. Significant endocrine disruption concerns.,all,none
Benzylparaben,Benzyl 4-hydroxybenzoate,Paraben,Avoid,Least commonly used paraben but carries significant sensitisation risk alongside endocrine concerns.,all,none
Sodium Methylparaben,,Paraben,Caution,Sodium salt form of methylparaben. Same concerns as methylparaben apply.,"sensitive, hormonal-acne",none
Sodium Propylparaben,,Paraben,Caution,Sodium salt form of propylparaben. Same estrogenic activity concerns as propylparaben.,"sensitive, hormonal-acne",none
Sodium Butylparaben,,Paraben,Avoid,Sodium salt form of butylparaben. Carries the same endocrine disruption concerns.,all,none
Isopropyl Myristate,IPM,Comedogenic,Avoid,One of the most highly comedogenic ingredients in cosmetics. Clogs pores rapidly and is a well-documented cause of acne cosmetica.,"oily, acne-prone, combination",none
Isopropyl Palmitate,IPP,Comedogenic,Avoid,Highly comedogenic ester similar to isopropyl myristate. Frequently causes breakouts in acne-prone individuals.,"oily, acne-prone",none
Isopropyl Isostearate,,Comedogenic,Avoid,Highly comedogenic emollient. Known to cause clogged pores and milia.,"oily, acne-prone",none
Coconut Oil,Cocos Nucifera Oil,Comedogenic,Caution,"Rates 4 out of 5 on the comedogenicity scale. Despite its popularity, it clogs pores significantly for acne-prone skin.","oily, acne-prone","barrier repair, hydration"
Cocoa Butter,"Theobroma Cacao Seed Butter, Theobroma Cacao Butter, Theobroma Cocoa Butter, Cupuacu Butter, Cocoa Seed Butter",Comedogenic,Caution,Highly comedogenic emollient. Highly occlusive and rates 4 on the comedogenicity scale. Great for dry body skin but problematic on the face.,"oily, acne-prone, combination","barrier repair, hydration"
Wheat Germ Oil,Triticum Vulgare Germ Oil,Comedogenic,Avoid,"One of the most comedogenic oils available, rating 5 out of 5. Avoid entirely if acne-prone.","oily, acne-prone, combination","antioxidant, barrier repair"
Lanolin,"Wool Wax, Wool Grease, Adeps Lanae",Comedogenic,Caution,Derived from sheep wool. Rates 4 on comedogenicity. Also a known allergen for some individuals.,"oily, acne-prone, sensitive","barrier repair, hydration"
Linseed Oil,"Flaxseed Oil, Linum Usitatissimum Seed Oil",Comedogenic,Caution,Rates 4 on comedogenicity scale. Oxidises quickly which can also cause irritation.,"oily, acne-prone",barrier repair
Palm Oil,Elaeis Guineensis Oil,Comedogenic,Caution,Moderately comedogenic. Also raises environmental concerns around deforestation.,"oily, acne-prone",barrier repair
Soybean Oil,Glycine Soja Oil,Comedogenic,Caution,Rates 3-4 on comedogenicity. Can clog pores with regular facial use.,"oily, acne-prone",barrier repair
Peach Kernel Oil,Prunus Persica Kernel Oil,Comedogenic,Caution,Rates 4 on comedogenicity. Light texture but still pore-clogging for acne-prone skin.,"oily, acne-prone","barrier repair, hydration"
Apricot Kernel Oil,Prunus Armeniaca Kernel Oil,Comedogenic,Caution,"Rates 2-3 on comedogenicity. Borderline — some acne-prone individuals tolerate it, others do not.","oily, acne-prone","barrier repair, hydration"
Avocado Oil,Persea Gratissima Oil,Comedogenic,Caution,Rates 3 on comedogenicity. Rich and heavy — better suited for dry skin and body use.,"oily, acne-prone","barrier repair, hydration"
Olive Oil,Olea Europaea Fruit Oil,Comedogenic,Caution,"Rates 2-3 on comedogenicity. Despite being natural, it can disrupt the skin barrier and clog pores.","oily, acne-prone","barrier repair, hydration"
Corn Oil,Zea Mays Oil,Comedogenic,Caution,Rates 3 on comedogenicity. Frequently used in formulations but problematic for breakout-prone skin.,"oily, acne-prone",barrier repair
