ingredient_name,common_aliases,category,concern_level,explanation,skin_types_to_avoid
Sodium Lauryl Sulfate,"SLS, Sodium Laurilsulfate, Sodium Dodecyl Sulfate",Sulfate,Avoid,Harsh surfactant that strips the skin's natural oils and disrupts the skin barrier. One of the most irritating cleansing agents used in cosmetics.,"sensitive, dry, acne-prone, eczema"
Sodium Laureth Sulfate,"SLES, Sodium Lauryl Ether Sulfate, Sodium Polyoxyethylene Lauryl Ether Sulfate",Sulfate,Caution,"Milder than SLS but still a strong surfactant. Can cause irritation with prolonged use, especially in sensitive individuals.","sensitive, dry, eczema"
Ammonium Lauryl Sulfate,"ALS, Ammonium Dodecyl Sulfate",Sulfate,Avoid,Similar to SLS in irritation potential. Strips natural oils and can cause dryness and redness.,"sensitive, dry, acne-prone"
Ammonium Laureth Sulfate,ALES,Sulfate,Caution,Slightly milder than ALS. Still a strong cleanser that can disrupt the skin barrier over time.,"sensitive, dry"
Sodium Coco Sulfate,"SCS, Coconut Sulfate",Sulfate,Caution,Derived from coconut oil but still a harsh sulfate. Often marketed as natural but can be irritating.,"sensitive, eczema"
Sodium Myreth Sulfate,SMS,Sulfate,Caution,Surfactant used in cleansers. Moderately irritating and can cause dryness with frequent use.,"sensitive, dry"
Sodium Xylenesulfonate,,Sulfate,Caution,Used as a solubiliser and viscosity agent. Can be irritating at higher concentrations.,sensitive
TEA Lauryl Sulfate,Triethanolamine Lauryl Sulfate,Sulfate,Avoid,Strong surfactant with irritation potential. TEA compounds can form nitrosamines which are a safety concern.,all
Sodium Olefin Sulfonate,"Alpha Olefin Sulfonate, AOS",Sulfate,Caution,Strong cleansing agent that can strip moisture and cause irritation in sensitive individuals.,"sensitive, dry"
Disodium Laureth Sulfosuccinate,,Sulfate,Safe,One of the gentlest sulfate-based surfactants. Much milder than SLS or SLES. Generally well tolerated.,none
Sodium Lauryl Sulfoacetate,SLSA,Sulfate,Safe,Derived from coconut and palm oils. Gentler than SLS and less likely to cause irritation.,none
Sodium Cocoyl Isethionate,"SCI, Baby Foam",Sulfate,Safe,Very mild sulfate-free surfactant derived from coconut oil. Gentle enough for sensitive and baby skin.,none
Methylparaben,"Methyl 4-hydroxybenzoate, Nipagin M",Paraben,Caution,"Most commonly used paraben preservative. Concerns exist around weak estrogenic activity and potential endocrine disruption, though evidence is debated.","sensitive, hormonal-acne"
Propylparaben,"Propyl 4-hydroxybenzoate, Nipasol",Paraben,Caution,Stronger estrogenic activity than methylparaben. More concerning from an endocrine disruption standpoint.,"sensitive, hormonal-acne"
Butylparaben,Butyl 4-hydroxybenzoate,Paraben,Avoid,Has the strongest estrogenic activity among common parabens. EU has restricted its use in cosmetics for children under 3.,all
Ethylparaben,Ethyl 4-hydroxybenzoate,Paraben,Caution,Moderate estrogenic activity. Less studied than methyl and propylparaben but shares similar concerns.,"sensitive, hormonal-acne"
Isobutylparaben,Isobutyl 4-hydroxybenzoate,Paraben,Avoid,Strong estrogenic activity similar to butylparaben. Restricted in EU for leave-on products.,all
Isopropylparaben,Isopropyl 4-hydroxybenzoate,Paraben,Avoid,Restricted in EU cosmetics. Significant endocrine disruption concerns.,all
